topic,question,option_a,option_b,option_c,option_d,correct_answer,difficulty
grammar,"Which is correct?","I are happy","I am happy","I is happy","I be happy",B,easy
grammar,"Choose the plural form of 'child':","childs","children","childes","child",B,medium
grammar,"What is the past tense of 'run'?","runned","ran","run","running",B,easy
grammar,"Which sentence is correct?","She don't like pizza","She doesn't like pizza","She not like pizza","She no like pizza",B,easy
grammar,"Choose the correct form: 'There ___ many books'","is","are","was","be",B,easy
grammar,"What is the present tense of 'went'?","go","goes","going","gone",A,medium
grammar,"Which is correct?","Me and him are friends","Him and me are friends","He and I are friends","I and he are friends",C,medium
grammar,"Choose the correct pronoun: 'Give the book to ___'","I","me","myself","mine",B,easy
grammar,"What is the comparative form of 'good'?","gooder","more good","better","best",C,medium
grammar,"Which sentence uses correct grammar?","I have ate lunch","I have eaten lunch","I has eaten lunch","I eaten lunch",B,medium
grammar,"Choose the correct form: 'She ___ to school every day'","go","goes","going","gone",B,easy
grammar,"What is the superlative form of 'tall'?","taller","more tall","tallest","most tall",C,medium
grammar,"Which is correct?","I can't hardly see","I can hardly see","I hardly can't see","I can't hardly not see",B,hard
grammar,"What is the past participle of 'break'?","breaked","broke","broken","breaking",C,medium
grammar,"Which sentence is correct?","Each of the students have a book","Each of the students has a book","Each of the student have a book","Each of the student has a book",B,medium
grammar,"Choose the correct form: 'Neither Tom nor Jerry ___ here'","is","are","was","were",A,hard
grammar,"What is the correct order?","Big red beautiful car","Beautiful big red car","Red big beautiful car","Beautiful red big car",B,medium
grammar,"Which is correct?","I wish I was taller","I wish I were taller","I wish I am taller","I wish I be taller",B,hard
grammar,"Choose the correct form: 'The book ___ on the table'","is laying","is lying","are laying","are lying",B,medium
grammar,"What is the plural of 'mouse'?","mouses","mouse","mice","mices",C,easy
grammar,"Which sentence is correct?","I seen the movie","I have saw the movie","I saw the movie","I have see the movie",C,easy
grammar,"Choose the correct form: 'She is ___ than her sister'","more smart","smarter","most smart","smartest",B,easy
grammar,"What is the past tense of 'bring'?","brang","bringed","brought","brung",C,medium
grammar,"Which is correct?","Who's book is this?","Whose book is this?","Who book is this?","Whos book is this?",B,medium
grammar,"Choose the correct form: 'I have ___ finished my homework'","all ready","already","all ways","always",B,easy
grammar,"What is the correct question form?","Where you are going?","Where are you going?","Where going you are?","You are going where?",B,easy
grammar,"Which sentence uses correct grammar?","Between you and I","Between you and me","Between I and you","Between me and you",B,medium
grammar,"Choose the correct form: 'She ___ playing piano for 5 years'","is","has been","have been","was",B,medium
grammar,"What is the correct negative form of 'I am happy'?","I am not happy","I not am happy","I amn't happy","I'm not happy",D,easy
grammar,"Which is correct?","I could of done it","I could have done it","I could off done it","I could've of done it",B,hard
grammar,"Choose the correct form: 'The dog wagged ___ tail'","it's","its","its'","it",B,medium
grammar,"What is the correct comparison?","This is more better","This is much better","This is most better","This is more good",B,medium
grammar,"Which sentence is correct?","I don't have no money","I don't have any money","I not have no money","I haven't no money",B,medium
grammar,"Choose the correct form: 'She speaks English ___'","good","well","better","best",B,easy
grammar,"What is the correct form of 'to be' with 'you'?","You is","You am","You are","You be",C,easy
grammar,"Which is correct?","I and my friend went","My friend and I went","Me and my friend went","My friend and me went",B,medium
grammar,"Choose the correct form: 'There are ___ apples'","a lot of","alot of","lots","much",A,easy
grammar,"What is the correct tag question for 'She is coming'?","isn't she?","doesn't she?","wasn't she?","hasn't she?",A,medium
grammar,"Which sentence is correct?","I have less books than you","I have fewer books than you","I have lesser books than you","I have few books than you",B,hard
grammar,"Choose the correct form: 'I ___ like to go swimming'","would","will","should","could",A,easy
grammar,"What is the correct form?","He don't know","He doesn't know","He not know","He no know",B,easy
grammar,"Which is correct?","Very unique","Most unique","More unique","Quite unique",D,hard
grammar,"Choose the correct form: 'I wish I ___ fly'","can","could","will","would",B,medium
grammar,"What is the correct preposition?","I am good in English","I am good at English","I am good on English","I am good with English",B,medium
grammar,"Which sentence uses correct grammar?","I have been to London last year","I went to London last year","I have went to London last year","I was to London last year",B,medium
grammar,"Choose the correct form: 'She made me ___ it'","to do","do","doing","done",B,hard
grammar,"What is the correct auxiliary verb?","Do you can swim?","Can you swim?","Are you can swim?","You can swim?",B,easy
grammar,"Which is correct?","I'm used to wake up early","I'm used to waking up early","I used to wake up early","I use to wake up early",B,hard
grammar,"Choose the correct form: 'The house ___ last year'","built","was built","has built","is built",B,medium
grammar,"What is the correct form?","He is married with her","He is married to her","He is married at her","He is married for her",B,hard
